"","N_Estacion","Estacion","N_Provincia","Provincia","Comunidad","lon","lat","Altitud"
"294",1,"Castro de Rei",27,"Lugo","Galicia",-7.48435366790831,43.1578864960038,428
"295",2,"Momforte de Lemos",27,"Lugo","Galicia",-7.50027084310296,42.4751464893447,645
"296",1,"A Capela",15,"A Coruña","Galicia",-8.06949119668093,43.4399964898316,372
"297",2,"Boimorto",15,"A Coruña","Galicia",-8.12700937900466,43.0079918185593,480
"34",6,"Alcaudete",23,"Jaén","Andalucia",-4.07731688110919,37.5791234559112,645
"35",11,"Chiclana de Segura",23,"Jaén","Andalucia",-2.95421624205356,38.304754179524,510
"36",1,"Huesa",23,"Jaén","Andalucia",-3.06047985629403,37.7492400660346,793
"38",15,"Jaén",23,"Jaén","Andalucia",-3.77013562595459,37.8924342102368,299
"39",103,"Jódar",23,"Jaén","Andalucia",-3.33300085358184,37.8805123117116,488
"40",12,"La Higuera de Arjona",23,"Jaén","Andalucia",-4.00667932715083,37.9507093752731,267
"41",9,"Linares",23,"Jaén","Andalucia",-3.64848988117718,38.0607150757467,443
"42",7,"Mancha Real",23,"Jaén","Andalucia",-3.59518690253249,37.9182614021145,436
"44",10,"Marmolejo",23,"Jaén","Andalucia",-4.12959782442874,38.0580493692246,208
"46",2,"Pozo Alcón",23,"Jaén","Andalucia",-2.92893332469297,37.6738105200588,893
"47",4,"Sabiote",23,"Jaén","Andalucia",-3.23442345596485,38.0813862779303,822
"48",3,"San José de los Propios",23,"Jaén","Andalucia",-3.22924048041331,37.8596965075295,509
"49",14,"Santo Tomé",23,"Jaén","Andalucia",-3.08173410984428,38.031155962672,571
"50",5,"Torreblascopedro",23,"Jaén","Andalucia",-3.68828908160576,37.9906132783339,291
"51",101,"Torreperogil",23,"Jaén","Andalucia",-3.24270794965298,37.9762347270802,536
"52",8,"Ubeda",23,"Jaén","Andalucia",-3.29939697485262,37.9447300886642,358
"53",102,"Villacarrillo",23,"Jaén","Andalucia",-3.19928302853009,38.065300226494,650
"54",10,"Adra",4,"Almería","Andalucia",-2.99204644037453,36.748542556722,42
"55",2,"Almería",4,"Almería","Andalucia",-2.40185856966876,36.8369061648428,22
"57",5,"Fiñana",4,"Almería","Andalucia",-2.83761898269613,37.1584200718208,971
"58",1,"La Mojonera",4,"Almería","Andalucia",-2.70329898107798,36.7892621575487,142
"59",11,"Níjar",4,"Almería","Andalucia",-2.15658826109293,36.9523709041628,182
"60",4,"Tabernas",4,"Almería","Andalucia",-2.30126595748951,37.0932829761471,435
"61",12,"Tíjola",4,"Almería","Andalucia",-2.45846237343005,37.3803703458423,796
"62",6,"Virgen de Fátima-Cuevas de Almanzora",4,"Almería","Andalucia",-1.76919612822574,37.3910055411559,185
"63",2,"Adamuz",14,"Córdoba","Andalucia",-4.44396885050121,37.9993539144008,90
"64",8,"Baena",14,"Córdoba","Andalucia",-4.30494038517591,37.6935068339169,334
"65",1,"Bélmez",14,"Córdoba","Andalucia",-5.20869042347461,38.2557536026333,523
"66",6,"Córdoba",14,"Córdoba","Andalucia",-4.80024640263406,37.8624863070429,117
"67",5,"El Carpio",14,"Córdoba","Andalucia",-4.50283149942273,37.9158302153812,165
"68",4,"Hornachuelos",14,"Córdoba","Andalucia",-5.15916880641829,37.7216356628455,157
"69",101,"IFAPA Centro de Cabra",14,"Córdoba","Andalucia",-4.42967059333858,37.5000697832462,547
"70",102,"IFAPA Centro de Hinojosa del Duque",14,"Córdoba","Andalucia",-5.11424665805632,38.4981660453239,543
"71",9,"Palma del Río",14,"Córdoba","Andalucia",-5.22605386894569,37.7275283139643,55
"72",7,"Santaella",14,"Córdoba","Andalucia",-4.88428490975346,37.5242615356636,207
"73",11,"Almuñecar",18,"Granada","Andalucia",-3.68356921518172,36.7414862209554,14
"74",1,"Baza",18,"Granada","Andalucia",-2.76641916172485,37.5662052139975,814
"75",7,"Cádiar",18,"Granada","Andalucia",-3.18274608904959,36.9249637339002,950
"76",101,"IFAPA Centro Camino del Purchil",18,"Granada","Andalucia",-3.63731860275876,37.1739263135293,630
"77",5,"Iznalloz",18,"Granada","Andalucia",-3.55023047398452,37.4183770923771,935
"78",6,"Jerez del Marquesado",18,"Granada","Andalucia",-3.14866238715699,37.19237636479,1212
"79",3,"Loja",18,"Granada","Andalucia",-4.13709878621056,37.1712747825152,487
"80",10,"Padul",18,"Granada","Andalucia",-3.59906135995398,37.0206150011393,781
"81",4,"Pinos Puente",18,"Granada","Andalucia",-3.77215529130269,37.2636056438194,594
"82",2,"Puebla de Don Fabrique",18,"Granada","Andalucia",-2.38048541059866,37.877965241078,1110
"83",8,"Zafarraya",18,"Granada","Andalucia",-4.15274214627762,36.9921004842265,905
"97",5,"Archidona",29,"Málaga","Andalucia",-4.42923402282589,37.07874236061,516
"98",9,"Cártama",29,"Málaga","Andalucia",-4.67713692383848,36.7187590288628,95
"99",101,"IFAPA Centro de Campanillas",29,"Málaga","Andalucia",-4.55958435616054,36.7309579898157,60
"100",7,"IFAPA Churriana",29,"Málaga","Andalucia",-4.5018447152914,36.6757238876871,32
"101",1,"Málaga",29,"Málaga","Andalucia",-4.53660112374683,36.7582806388763,68
"102",8,"Pizarra",29,"Málaga","Andalucia",-4.71413775728085,36.7684469246811,84
"103",6,"Sierra Yeguas",29,"Málaga","Andalucia",-4.83484858984319,37.1401983751328,464
"104",2,"Vélez-Málaga",29,"Málaga","Andalucia",-4.13058192599971,36.7980598968574,49
"105",3,"Sádaba",50,"Zaragoza","Aragón",-1.30802572138019,42.269246127811,438
"106",4,"El Bayo",50,"Zaragoza","Aragón",-1.2475008181154,42.1775124773561,379
"107",5,"Ejea de los Caballeros",50,"Zaragoza","Aragón",-1.19474636340221,42.0995938945924,317
"108",6,"Luna",50,"Zaragoza","Aragón",-0.934665853272392,42.097691749347,409
"109",7,"Tauste",50,"Zaragoza","Aragón",-1.14155315623844,42.0020820834829,361
"110",8,"Santa Engracia",50,"Zaragoza","Aragón",-1.32915467916819,41.9231265081844,253
"127",1,"Santa Cilia de Jaca",22,"Huesca","Aragón",-0.719130441536077,42.5664315815184,666
"129",9,"Gurrea de Gállego",22,"Huesca","Aragón",-0.729924215592777,41.9947399684705,363
"130",10," Huesca",22,"Huesca","Aragón",-0.376382583165817,42.1073346925315,420
"137",17,"Tardienta",22,"Huesca","Aragón",-0.506230250188025,41.9712558025429,361
"138",18,"Grañén",22,"Huesca","Aragón",-0.354711174208206,41.94456459129,312
"139",19,"Huerto",22,"Huesca","Aragón",-0.135959707594675,41.9498038396109,415
"140",20,"Sodeto",22,"Huesca","Aragón",-0.256010783123324,41.8858349491284,312
"141",21,"Lanaja",22,"Huesca","Aragón",-0.336603478342422,41.7882462637303,368
"142",22,"Sariñena",22,"Huesca","Aragón",-0.175341890388643,41.7732424487669,283
"154",1,"TARAZONA",2,"Albacete","Castilla La Mancha",-2.6558013953011,39.2680813934003,677
"155",2,"JUANACO",2,"Albacete","Castilla La Mancha",-1.10652966751905,38.9051390962493,698
"156",3,"ALMANSA",2,"Albacete","Castilla La Mancha",-1.71237204193594,38.4874837317643,579
"157",4,"HELLÍN",2,"Albacete","Castilla La Mancha",-1.90003757286304,38.9514304215936,677
"158",5,"ALBACETE",2,"Albacete","Castilla La Mancha",-1.49579630500955,38.6248484450015,682
"159",6,"Ontur",2,"Albacete","Castilla La Mancha",-1.75291198846027,38.8011508080011,872
"160",7,"Pozo Cañada",2,"Albacete","Castilla La Mancha",-2.01310928958711,39.1017001564198,722
"161",8,"La Gineta",2,"Albacete","Castilla La Mancha",-1.76849418685449,39.1668630228535,695
"162",9,"Motilleja",2,"Albacete","Castilla La Mancha",-0.977651137953474,38.7366627404077,531
"164",1,"ALCÁZAR DE SAN JUAN",13,"Ciudad Real","Castilla La Mancha",-3.35570958888026,39.0980535681276,690
"165",2,"Manzanares",13,"Ciudad Real","Castilla La Mancha",-4.22894904782727,39.235388780743,615
"166",3,"PORZUNA",13,"Ciudad Real","Castilla La Mancha",-3.98845650264332,39.0440257213044,662
"167",4,"CIUDAD REAL",13,"Ciudad Real","Castilla La Mancha",-3.62016318583803,38.9513437066274,710
"168",5,"Bolaños",13,"Ciudad Real","Castilla La Mancha",-2.7984255378859,38.8397408755771,647
"169",6,"Villahermosa-Tajoneras",13,"Ciudad Real","Castilla La Mancha",-3.05644155199526,39.0780369379584,727
"170",7,"Argamasilla de Alba",13,"Ciudad Real","Castilla La Mancha",-3.32920550987183,39.3810033393421,659
"171",8,"Herencia",13,"Ciudad Real","Castilla La Mancha",-3.69169929005624,39.0103888796306,622
"172",9,"Daimiel",13,"Ciudad Real","Castilla La Mancha",-3.94708801234459,39.0327267306325,640
"173",101,"Entresierra",13,"Ciudad Real","Castilla La Mancha",-3.35236183144679,39.1247908027694,652
"174",10,"MANZANARES",13,"Ciudad Real","Castilla La Mancha",-2.88053943524858,38.6989015557627,887
"175",11,"Montiel",13,"Ciudad Real","Castilla La Mancha",-2.86214456348807,38.6963489964286,978
"176",1,"EL SANCHÓN",16,"Cuenca","Castilla La Mancha",-2.75839980989944,39.4749923303589,720
"177",2,"PEDERNOSO",16,"Cuenca","Castilla La Mancha",-2.09039631319073,39.4566744167992,728
"178",3,"El Picazo",16,"Cuenca","Castilla La Mancha",-2.93530403980712,40.1168899799748,707
"179",4,"Barajas de Melo",16,"Cuenca","Castilla La Mancha",-1.64866827534386,40.0303823357137,1053
"182",7,"Villaconejos de Trabaque",16,"Cuenca","Castilla La Mancha",-1.84564981116905,39.406540527323,820
"183",8,"Villnueva de la Jara",16,"Cuenca","Castilla La Mancha",-2.14024892314281,40.1544034658476,940
"186",2,"JADRAQUE",19,"Guadalajara","Castilla La Mancha",-3.01262203471296,40.5323350162993,759
"187",3,"Armuña de Tajuña",19,"Guadalajara","Castilla La Mancha",-3.2459545804981,40.5926228346842,664
"189",5,"Prados Redondos",19,"Guadalajara","Castilla La Mancha",-2.98559275769324,40.211237109423,589
"190",6,"Illana",19,"Guadalajara","Castilla La Mancha",-3.20857088130193,40.6826492284805,692
"191",9,"Marchamalo",19,"Guadalajara","Castilla La Mancha",-3.20096570204575,40.668203690209,676
"192",1,"VEGAS DE SAN ANTONIO",45,"Toledo","Castilla La Mancha",-4.6981144302878,39.9599257143081,400
"195",3,"CALERA Y CHOZAS",45,"Toledo","Castilla La Mancha",-4.96767972751433,39.8718787468727,387
"196",4,"Los Navalmorales",45,"Toledo","Castilla La Mancha",-4.65513398868948,39.7247633568365,725
"197",5,"Alcolea del Tajo",45,"Toledo","Castilla La Mancha",-5.13949861416969,39.815980195736,371
"200",7,"Recas",45,"Toledo","Castilla La Mancha",-3.97689089735163,40.058181845039,609
"201",8,"Villarrubia de Santiago",45,"Toledo","Castilla La Mancha",-3.33300540873622,40.0368109800348,573
"202",9,"La Rinconada",45,"Toledo","Castilla La Mancha",-4.40255020535177,39.8339086465072,432
"203",10,"La Puebla de Almoradiel",45,"Toledo","Castilla La Mancha",-3.1347472141533,39.6109085644075,698
"204",1,"Nava de Arévalo",5,"Ávila","Castilla y León",-4.76537196021665,40.9967936669664,921
"205",101,"Muñogalindo",5,"Ávila","Castilla y León",-4.90461031702994,40.597376624243,1128
"206",102,"Losar del Barco",5,"Ávila","Castilla y León",-5.53475964490418,40.3971460141522,1024
"212",101,"Valle de Losa",5,"Ávila","Castilla y León",-3.22032628485447,42.9877589704798,491
"213",102,"Condado de Treviño",5,"Ávila","Castilla y León",-2.69023552549246,42.719373679452,562
"214",1,"Carracedelo",24,"León","Castilla y León",-6.73304075461845,42.5503762917144,463
"215",2,"Mansilla Mayor",24,"León","Castilla y León",-5.44634503710235,42.5122095729447,791
"216",3,"Cubillas de los Oteros",24,"León","Castilla y León",-5.51077101556085,42.3783311056305,772
"217",4,"Zotes del Paramo",24,"León","Castilla y León",-5.73115149783471,42.2643988379404,776
"218",5,"Quintana del Marco",24,"León","Castilla y León",-5.86175336741498,42.2007420112606,750
"219",6,"Hospital de Orbigo",24,"León","Castilla y León",-5.88263612956554,42.4631757403423,818
"220",7,"Bustillo del Páramo",24,"León","Castilla y León",-5.80027396051753,42.4386004396587,850
"221",8,"Sahagún",24,"León","Castilla y León",-5.0060863588897,42.3690600350241,839
"222",9,"Santas Martas",24,"León","Castilla y León",-5.34500991989132,42.4531655698629,879
"223",1,"Torquemada",34,"Palencia","Castilla y León",-4.29981512784995,42.0394808844352,741
"224",2,"Villamuriel de Cerrato",34,"Palencia","Castilla y León",-4.50832412603951,41.952107995122,737
"225",3,"Fuentes de Nava",34,"Palencia","Castilla y León",-4.76746773994323,42.0901855423998,742
"226",4,"Villoldo",34,"Palencia","Castilla y León",-4.59826334494635,42.2556048480893,804
"228",6,"Herrera de Pisuerga",34,"Palencia","Castilla y León",-4.31083760758605,42.5484994621659,810
"229",7,"Villaluenga de la Vega",34,"Palencia","Castilla y León",-4.77636652391835,42.5254590156688,916
"230",101,"Villaeles de Valdavia",34,"Palencia","Castilla y León",-4.55825059350861,42.5758131185584,885
"231",1,"Ciudad Rodrigo",37,"Salamanca","Castilla y León",-6.49231502561881,40.6180886252983,635
"232",3,"Aldearrubia",37,"Salamanca","Castilla y León",-5.49281444677704,41.0040504763533,815
"233",101,"Arabayona",37,"Salamanca","Castilla y León",-5.39312812014561,41.0472818194031,847
"234",102,"Ejeme",37,"Salamanca","Castilla y León",-5.52529555429954,40.7687698195661,816
"235",1,"Gomezserracín",40,"Segovia","Castilla y León",-4.29916012277415,41.2871579776826,812
"236",2,"Nava de la Asunción",40,"Segovia","Castilla y León",-4.48638333287085,41.1406013436592,802
"237",1,"Almazán",40,"Segovia","Castilla y León",-2.55599091748511,41.4829365962437,947
"238",2,"San Esteban de Gormaz",40,"Segovia","Castilla y León",-3.22011021226547,41.5354207303688,852
"241",1,"Mayorga",47,"Valladolid","Castilla y León",-5.30040189170103,42.1720092535576,749
"242",2,"Torrecilla de la Orden",47,"Valladolid","Castilla y León",-5.2671298589743,41.2190734908114,774
"243",3,"Olmedo",47,"Valladolid","Castilla y León",-4.71724854633543,41.2923620417065,740
"244",5,"Encinas de Esgueva",47,"Valladolid","Castilla y León",-4.0910257723671,41.7539743675758,800
"245",6,"Tordesillas",47,"Valladolid","Castilla y León",-4.98901900041573,41.5094569648789,671
"246",7,"Valbuena de Duero",47,"Valladolid","Castilla y León",-4.28355322391909,41.6623393302973,740
"247",8,"Medina de Rioseco",47,"Valladolid","Castilla y León",-5.02976189265421,41.888908441564,739
"248",101,"Valladolid",47,"Valladolid","Castilla y León",-4.74019791242885,41.6257896616988,714
"249",102,"Medina del Campo",47,"Valladolid","Castilla y León",-4.90434636745132,41.3196549628479,726
"250",103,"Rueda",47,"Valladolid","Castilla y León",-4.98143899027792,41.4058019638346,751
"251",1,"Quiruelas de Vidriales",49,"Zamora","Castilla y León",-5.82127609227418,42.0140372887373,707
"252",2,"Villaralbo",49,"Zamora","Castilla y León",-5.66980502283839,41.4965888871716,656
"253",4,"Villalpando",49,"Zamora","Castilla y León",-5.40641054311259,41.8249733120421,686
"254",5,"Pozuelo de Tábara",49,"Zamora","Castilla y León",-5.90735413166142,41.779877354312,699
